Cell name,x_pos,y_pos,z_pos
15257_2226_x16029_y23953,118.1408,115.1608,150.122
15257_2309_x13266_y25533,134.42079999999999,163.1408,126.9808
15257_2627_x17126_y20600,137.078,80.3712,205.55919999999998
15257_3271_x15413_y13333,177.60479999999998,105.12,321.452
15257_4021_x16401_y21556,219.1408,67.30279999999999,195.28400000000002
15257_4149_x16164_y21238,226.98080000000002,69.50880000000001,200.146
15257_4397_x16794_y21812,236.274,53.5872,191.428
15257_4485_x16442_y16836,238.9552,57.083999999999996,263.41200000000003
15257_4500_x16614_y17147,239.192,53.2712,258.5768
17109_1701_x8048_y22277,112.8072,159.602,311.822
17109_1801_x6698_y12550,120.1248,138.1508,167.672
17109_1901_x9602_y10508,127.35799999999999,190.57,135.0328
17109_2201_x8046_y23301,139.1848,151.6292,325.06
17109_2301_x8535_y23051,142.494,160.5492,320.31919999999997
17109_2301_x9418_y23665,141.41719999999998,174.53,333.124
17109_2401_x8977_y24184,149.484,163.7408,339.89
17109_2401_x9338_y2394,149.084,171.40599999999998,332.0368
17109_2401_x9695_y9693,155.16,189.28400000000002,130.4752
17109_2401_x9954_y9122,153.312,194.6332,117.9108
17109_2500_x9864_y9311,157.218,192.25599999999997,123.24
17109_2601_x10213_y8783,165.0468,197.386,114.3828
17109_2601_x9296_y24691,159.9248,165.692,348.3232
17109_2601_x9498_y8169,166.416,186.1668,105.8292
17109_3101_x10824_y7188,194.6432,204.44080000000002,91.33
17109_3701_x9228_y26684,211.67680000000001,150.754,381.5388
17109_4101_x6753_y6197,241.49919999999997,124.73200000000001,85.014
17109_4764_x6621_y5727,272.2768,119.488,78.5872
17109_4772_x9038_y27257,262.6432,139.726,389.022
17109_6201_x4328_y6753,370.4232,72.5872,113.822
17109_6301_x4756_y24516,344.56199999999995,61.1152,343.346
17109_6401_x7641_y3978,363.85,133.72719999999998,61.3212
17109_6401_x7989_y3767,361.12120000000004,131.03799999999998,58.2848
17109_6501_x6997_y4287,366.1048,121.37799999999999,62.81
17109_6601_x4384_y7436,351.32120000000003,71.42399999999999,101.274
17109_6601_x5417_y25287,358.5132,73.808,358.81120000000004
