name,soma_region
18454_01067,VPM
191801_4228_x15043_y11097,OT
18457_00127,MG
17302_00015,CP
18465_00005,CP
17302_00005,CP
17781_00003,MOp
18465_00015,CP
18457_00241,SGN
191807_5178_x5002_y23078,SSp-bfd
18470_4630_x23468_y24795,RSPd
18454_00126,LP
18454_00136,VPM
18869_3398_x6248_y7047,SSp-m
18455_00042,LGd
18869_4912_x19648_y8510,RT
18464_00009,CP
18458_00048,error
18453_2190_x23739_y8507,MOs
18869_4384_x15799_y10704,RT
236174_6338_x12496_y6617,ECT
17545_00131,CP
18463_00027,VPM
17545_00059,CP
17545_00121,CP
18463_00037,VPM
pre_18464_00077,CP
15257_4397_x16794_y21812,MOp
pre_18864_00025,MOs
236174_3329_x13938_y26099,GU
18458_00461,VPM
18463_00045,VPL
18455_5316_x26308_y13288,VPM
17545_00143,CP
18463_00055,VPM
18864_00029,SSs
18454_00095,CM
18455_00030,CP
18455_00148,VPM
18455_00020,VPM
18455_00158,VPMpc
236174_6855_x15550_y29832,ECT
18458_00083,LP
18453_7309_x5442_y9199,TEa
18454_00144,VPLpc
18455_5507_x14812_y14221,VPM
18454_00154,VPM
17302_00077,MG
18454_01005,VPM
18462_00049,CP
18869_3305_x6812_y6104,SSp-m
18454_01015,VPM
18867_5942_x29015_y5711,SSp-bfd
18453_4725_x30684_y6703,SSp-bfd
18867_4984_x30860_y8156,SSp-n
18453_3471_x28224_y8289,SSp-ul
18462_00059,VPM
18457_00145,VPM
17545_00092,LGd
17545_00082,MG
18463_00018,LGd
17545_00066,CP
18458_00269,VPM
18047_3132_x24052_y12385,MOs
17109_6601_x5417_y25287,VISal
17109_3701_x9228_y26684,SSs
18455_00263,VPM
17302_00093,CP
18465_00083,VPM
191801_4180_x7440_y5386,SSp-m
18458_00077,LD
18869_4599_x7153_y3640,SSp-bfd
18465_00142,VPM
18465_00152,MG
18453_2428_x13810_y8197,MOs
18864_6321_x4387_y7047,VISp
18454_00061,VPM
18454_00071,VPM
18869_5571_x8792_y4549,CA3
18454_00109,VPL
17787_7070_x12739_y1410,VISpm
17781_6262_x6896_y13574,SSp-bfd
18864_6074_x3503_y13192,RSPd
18454_01120,VPM
18462_00014,VPM
18457_00108,CP
18465_00234,VPM
18454_01048,VPM
18457_00118,VPM
18454_01130,VPL
18457_00012,VPM
18465_00246,CEA
18457_00002,CP
18868_5156_x9540_y6495,SSp-bfd
18453_3186_x12745_y7108,MOp
18454_00003,CP
17302_00048,LGd
18869_4786_x18238_y10268,RT
18465_00058,VPM
182724_5651_x9832_y25682,VISC
18453_5578_x32997_y13060,AUDv
18868_4739_x28536_y7468,SSp-bfd
18465_00048,PO
17302_00120,LGd
18464_00044,VPM
18461_4410_x23856_y6531,SSs
18465_00199,ACB
18453_3316_x8214_y11076,SSp-m
18454_01093,MG
18455_00201,VPM
17782_3672_x34784_y19432,CLA
17545_00004,CP
18867_4202_x26848_y7080,SSp-ul
18458_00468,VM
18458_00500,ACB
18869_3064_x20999_y7621,SSp-m
236174_3029_x12820_y24699,MOp
17543_4926_x5833_y20277,SSp-bfd
18869_5393_x8284_y3671,SSp-bfd
236174_4029_x13079_y8858,CLA
236174_3229_x11884_y10380,AId
18868_3932_x25373_y7132,SSp-ll
18868_4549_x5910_y9879,SSp-m
18465_00106,VPL
17302_00116,VPL
18465_00116,LGd
17302_00106,CP
18457_00034,CP
18462_00050,CP
18457_00024,VPM
18867_7541_x13210_y4462,VISp
18462_00040,VPM
18869_4997_x13063_y4444,RSPv
18457_00056,VPM
17786_00024,AON
18454_01106,VPM
18462_00032,VPMpc
18457_00046,VPM
18454_01116,VPM
18462_00022,MG
18868_5141_x8535_y6876,SSp-bfd
18864_3494_x2380_y13749,MOp
18869_5482_x15126_y4142,RSPv
236174_3929_x12721_y8845,AId
pre_18465_00366,CA3
18454_00057,RE
17300_3514_x19676_y45282,SSs
18453_7455_x32866_y9412,VISpor
18458_00614,LP
18455_00133,SMT
18864_6734_x4899_y27447,VISp
18455_00123,PO
18464_00010,CP
18458_00051,LGd
18867_5867_x21009_y6208,RSPv
17545_00050,CP
17545_00040,CP
17545_00138,CP
236174_4229_x13663_y8589,CLA
18455_00255,VPM
18457_00197,VPL
18458_00562,VPL
18869_4848_x18620_y8132,RT
